Builder,Project,Location,Sector,Floor,Price,Min. Size,Max. Size,AR,Leased Brand/ Type,LG,Lock-in Period,Lease Period,Possession Period,,CA,Payment Plan,Min. Investment,LG,Annual LG,AR ,AR Adjusted,ROI
Saya,Status,Noida,Sector 129,6F,"27,500",150,,NA,Retail,140,,,18,,,,4125000,21000,252000,NA,NA,#VALUE!
Saya,Status,Noida,Sector 129,9F,"27,500",150,,NA,Retail,140,,,18,,,,4125000,21000,252000,NA,NA,NA
Saya,Status,Noida,Sector 129,LGF,"39,500",180,,NA,Retail,210,,,,,,,7110000,37800,453600,#VALUE!,#VALUE!,6.38%
Bhutani Infra,Techno Park,Noida,Sector 127,1F,"8,990",500,,NA,SNAPON,58,,,NA,,,,4495000,29000,348000,NA,NA,7.74%
Bhutani Infra,Techno Park,Noida,Sector 127,GF,"24,750",250,,NA,MISOSEXY,145,,,NA,,,50:50 (1% of 50 for 10 months),6187500,36250,435000,NA,NA,7.03%
Bhutani Infra,Techno Park,Noida,Sector 127,6F,"13,000",200,,12%,Office,75,,,NA,,,50:50:00,2600000,15000,180000,NA,NA,6.92%
Elan,The Mark,Gurgaon,Sector 106,3F,"27,750",800,,12%,Food Court,200,,,35,,,30:30:40,22200000,160000,1920000,7770000,"14,430,000",13.31%
Elan,The Mark,Gurgaon,Sector 106,1F,"27,750",1000,,12%,,200,,,35,,,30:30:40,27750000,200000,2400000,9712500,"18,037,500",13.31%
Elan,The Mark,Gurgaon,Sector 106,1F,"27,750",1300,,12%,,200,,,35,,,,36075000,260000,3120000,12626250,"23,448,750",13.31%
Elan,The Mark,Gurgaon,Sector 106,GF,"43,750",1300,,12%,,200,,,35,,,30:30:40,56875000,260000,3120000,19906250,"36,968,750",8.44%
Elan,The Mark,Gurgaon,Sector 106,LGF,"43,750",1400,,12%,,200,,,35,,,30:30:40,61250000,280000,3360000,21437500,"39,812,500",8.44%
Elan,The Mark,Gurgaon,Sector 106,GF,"43,750",2200,,12%,,200,,,35,,,,96250000,440000,5280000,33687500,"62,562,500",8.44%
